time;NETWORK__BUS__A_TN_Upu_value;NETWORK__BUS__B_TN_Upu_value;NETWORK__BUS__A2_TN_Upu_value;NETWORK__BUS__B2_TN_Upu_value;NETWORK__BUS__C_TN_Upu_value;NETWORK__BUS__E_TN_Upu_value;NETWORK__BUS__F_TN_Upu_value;GFLVSC_WP1_injectorGFL_PGenPu;GFLVSC_WP1_injectorGFL_QGenPu;GFLVSC_WP1_injectorGFL_UConvPu;GFLVSC_WP1_injectorGFL_UPccPu;GFLVSC_WP2_injectorGFL_PGenPu;GFLVSC_WP2_injectorGFL_QGenPu;GFLVSC_WP2_injectorGFL_UConvPu;GFLVSC_WP2_injectorGFL_UPccPu;GFLVSC_HVDC1_injectorGFL_PGenPu;GFLVSC_HVDC1_injectorGFL_QGenPu;GFLVSC_HVDC1_injectorGFL_UConvPu;GFLVSC_HVDC1_injectorGFL_UPccPu;GFLVSC_HVDC2_injectorGFL_PGenPu;GFLVSC_HVDC2_injectorGFL_QGenPu;GFLVSC_HVDC2_injectorGFL_UConvPu;GFLVSC_HVDC2_injectorGFL_UPccPu;InfBus_infiniteBus_UBus0Pu;InfBus_infiniteBus_UPhaseBus0;
0.04500;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30704;1.01060;1.03741;0.95377;-0.04479;1.02434;1.01651;0.82007;0.29644;1.07281;1.01847;1.88669;-1.00574;
0.04600;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30704;1.01060;1.03741;0.95377;-0.04479;1.02434;1.01651;0.82007;0.29644;1.07281;1.01847;1.88669;-1.00574;
0.04700;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30704;1.01060;1.03741;0.95377;-0.04479;1.02434;1.01651;0.82007;0.29644;1.07281;1.01847;1.88669;-1.00574;
0.04800;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30704;1.01060;1.03741;0.95377;-0.04479;1.02434;1.01651;0.82007;0.29644;1.07281;1.01847;1.88669;-1.00574;
0.04900;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30704;1.01060;1.03741;0.95377;-0.04479;1.02434;1.01651;0.82007;0.29644;1.07281;1.01847;1.88669;-1.00574;
0.05000;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30704;1.01060;1.03741;0.95377;-0.04479;1.02434;1.01651;0.82007;0.29644;1.07281;1.01847;1.88669;-1.00574;
0.05100;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82989;-0.30705;1.01060;1.03741;0.95377;-0.04479;1.02434;1.01651;0.82007;0.29644;1.07281;1.01847;1.88669;-1.00574;
0.05200;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01060;1.03741;0.95377;-0.04479;1.02434;1.01651;0.82007;0.29644;1.07281;1.01847;1.88669;-1.00574;
0.05300;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01060;1.03741;0.95377;-0.04479;1.02434;1.01651;0.82007;0.29644;1.07281;1.01847;1.88669;-1.00574;
0.05400;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03741;0.82985;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01060;1.03741;0.95377;-0.04479;1.02434;1.01651;0.82007;0.29644;1.07281;1.01847;1.88669;-1.00574;
