time;NETWORK__BUS__A_TN_Upu_value;NETWORK__BUS__B_TN_Upu_value;NETWORK__BUS__A2_TN_Upu_value;NETWORK__BUS__B2_TN_Upu_value;NETWORK__BUS__C_TN_Upu_value;NETWORK__BUS__E_TN_Upu_value;NETWORK__BUS__F_TN_Upu_value;GFLVSC_WP1_injectorGFL_PGenPu;GFLVSC_WP1_injectorGFL_QGenPu;GFLVSC_WP1_injectorGFL_UConvPu;GFLVSC_WP1_injectorGFL_UPccPu;GFLVSC_WP2_injectorGFL_PGenPu;GFLVSC_WP2_injectorGFL_QGenPu;GFLVSC_WP2_injectorGFL_UConvPu;GFLVSC_WP2_injectorGFL_UPccPu;GFLVSC_HVDC1_injectorGFL_PGenPu;GFLVSC_HVDC1_injectorGFL_QGenPu;GFLVSC_HVDC1_injectorGFL_UConvPu;GFLVSC_HVDC1_injectorGFL_UPccPu;GFLVSC_HVDC2_injectorGFL_PGenPu;GFLVSC_HVDC2_injectorGFL_QGenPu;GFLVSC_HVDC2_injectorGFL_UConvPu;GFLVSC_HVDC2_injectorGFL_UPccPu;InfBus_infiniteBus_UBus0Pu;InfBus_infiniteBus_UPhaseBus0;
0.00000;1.00759;1.00543;1.03188;0.99257;1.00001;1.04756;0.99975;0.82996;-0.06111;1.04887;1.04756;0.82989;-0.32639;0.97002;0.99975;-0.93768;-0.08487;1.00003;1.00759;-0.94559;0.20370;1.04086;1.00543;1.00000;0.00008;
0.00100;1.00756;1.00541;1.03185;0.99254;1.00000;1.04753;0.99972;0.82993;-0.06114;1.04884;1.04753;0.82987;-0.32639;0.97000;0.99972;-0.93766;-0.08491;1.00000;1.00756;-0.94557;0.20364;1.04083;1.00541;1.00000;0.00008;
0.00200;1.00756;1.00540;1.03184;0.99254;0.99999;1.04752;0.99972;0.82993;-0.06115;1.04883;1.04752;0.82986;-0.32638;0.96999;0.99972;-0.93765;-0.08492;0.99999;1.00756;-0.94556;0.20361;1.04082;1.00540;1.00000;0.00008;
0.00300;1.00756;1.00540;1.03184;0.99253;0.99999;1.04752;0.99971;0.82993;-0.06115;1.04882;1.04752;0.82986;-0.32638;0.96999;0.99971;-0.93765;-0.08493;0.99999;1.00756;-0.94556;0.20360;1.04082;1.00540;1.00000;0.00008;
0.00400;1.00756;1.00540;1.03184;0.99254;0.99999;1.04753;0.99972;0.82993;-0.06115;1.04883;1.04753;0.82986;-0.32638;0.96999;0.99972;-0.93765;-0.08493;0.99999;1.00756;-0.94557;0.20360;1.04082;1.00540;1.00000;0.00008;
0.00500;1.00756;1.00541;1.03184;0.99254;1.00000;1.04753;0.99972;0.82993;-0.06114;1.04883;1.04753;0.82987;-0.32638;0.96999;0.99972;-0.93766;-0.08492;0.99999;1.00756;-0.94557;0.20361;1.04082;1.00541;1.00000;0.00008;
0.00600;1.00756;1.00541;1.03185;0.99254;1.00000;1.04753;0.99972;0.82994;-0.06113;1.04884;1.04753;0.82987;-0.32638;0.96999;0.99972;-0.93766;-0.08492;1.00000;1.00756;-0.94557;0.20361;1.04083;1.00541;1.00000;0.00008;
0.00700;1.00756;1.00541;1.03185;0.99254;1.00000;1.04754;0.99972;0.82994;-0.06113;1.04884;1.04754;0.82987;-0.32638;0.97000;0.99972;-0.93766;-0.08492;1.00000;1.00756;-0.94558;0.20362;1.04083;1.00541;1.00000;0.00008;
0.00800;1.00757;1.00541;1.03186;0.99255;1.00000;1.04754;0.99973;0.82994;-0.06112;1.04885;1.04754;0.82987;-0.32638;0.97000;0.99973;-0.93766;-0.08492;1.00000;1.00757;-0.94558;0.20362;1.04083;1.00541;1.00000;0.00008;
0.00900;1.00757;1.00542;1.03186;0.99255;1.00000;1.04755;0.99973;0.82995;-0.06112;1.04885;1.04755;0.82987;-0.32638;0.97000;0.99973;-0.93767;-0.08491;1.00001;1.00757;-0.94558;0.20363;1.04084;1.00542;1.00000;0.00008;
0.01000;1.00757;1.00542;1.03186;0.99255;1.00000;1.04755;0.99973;0.82995;-0.06111;1.04885;1.04755;0.82988;-0.32638;0.97000;0.99973;-0.93767;-0.08491;1.00001;1.00757;-0.94559;0.20363;1.04084;1.00542;1.00000;0.00008;
0.01100;1.00757;1.00542;1.03186;0.99255;1.00000;1.04755;0.99973;0.82995;-0.06111;1.04886;1.04755;0.82988;-0.32638;0.97001;0.99973;-0.93767;-0.08491;1.00001;1.00757;-0.94559;0.20363;1.04084;1.00542;1.00000;0.00008;
0.01200;1.00758;1.00542;1.03187;0.99255;1.00000;1.04755;0.99973;0.82995;-0.06110;1.04886;1.04755;0.82988;-0.32639;0.97001;0.99973;-0.93767;-0.08491;1.00001;1.00758;-0.94559;0.20364;1.04084;1.00542;1.00000;0.00008;
0.01300;1.00758;1.00542;1.03187;0.99256;1.00001;1.04756;0.99974;0.82996;-0.06110;1.04886;1.04756;0.82988;-0.32639;0.97001;0.99974;-0.93767;-0.08491;1.00002;1.00758;-0.94559;0.20364;1.04084;1.00542;1.00000;0.00008;
0.01400;1.00758;1.00542;1.03187;0.99256;1.00001;1.04756;0.99974;0.82996;-0.06110;1.04887;1.04756;0.82988;-0.32639;0.97001;0.99974;-0.93767;-0.08491;1.00002;1.00758;-0.94559;0.20364;1.04085;1.00542;1.00000;0.00008;
0.01500;1.00758;1.00542;1.03187;0.99256;1.00001;1.04756;0.99974;0.82996;-0.06109;1.04887;1.04756;0.82988;-0.32639;0.97001;0.99974;-0.93767;-0.08490;1.00002;1.00758;-0.94559;0.20364;1.04085;1.00542;1.00000;0.00008;
0.01600;1.00758;1.00543;1.03187;0.99256;1.00001;1.04756;0.99974;0.82996;-0.06109;1.04887;1.04756;0.82988;-0.32639;0.97001;0.99974;-0.93767;-0.08490;1.00002;1.00758;-0.94560;0.20364;1.04085;1.00543;1.00000;0.00008;
0.01700;1.00758;1.00543;1.03188;0.99256;1.00001;1.04756;0.99974;0.82996;-0.06109;1.04887;1.04756;0.82988;-0.32639;0.97001;0.99974;-0.93768;-0.08490;1.00002;1.00758;-0.94560;0.20365;1.04085;1.00543;1.00000;0.00008;
0.01800;1.00758;1.00543;1.03188;0.99256;1.00001;1.04756;0.99974;0.82996;-0.06108;1.04887;1.04756;0.82988;-0.32639;0.97001;0.99974;-0.93768;-0.08490;1.00002;1.00758;-0.94560;0.20365;1.04085;1.00543;1.00000;0.00008;
